Probe Compound;Log k;R;ð;á;â;V
chlorobenzene;3.26;0.718;0.65;0;0.07;0.839
ethylbenzene;3.28;0.613;0.51;0;0.15;0.998
p-xylene;3.46;0.613;0.52;0;0.16;0.998
bromobenzene;3.61;0.882;0.73;0;0.09;0.891
propylbenzene;4.22;0.604;0.5;0;0.15;1.139
4-chlorotoluene;4.27;0.705;0.67;0;0.07;0.98
phenol;2.3;0.805;0.89;0.6;0.3;0.775
benzonitrile;3.13;0.742;1.11;0;0.33;0.871
4-fluorophenol;2.79;0.67;0.97;0.63;0.23;0.793
benzyl alcohol;1.95;0.803;0.87;0.33;0.56;0.916
iodobenzene;4.2;1.188;0.82;0;0.12;0.975
acetophenone;3.68;0.818;1.01;0;0.48;1.014
3-methylphenol;3.15;0.822;0.88;0.57;0.34;0.916
methyl benzoate;4.18;0.733;0.85;0;0.46;1.073
4-chloroanisole;4.56;0.838;0.86;0;0.24;1.038
phenethyl alcohol;2.65;0.784;0.83;0.3;0.66;1.057
3-methylbenzyl alcohol;3.05;0.815;0.9;0.33;0.59;1.057
4-ethylphenol;3.62;0.8;0.9;0.55;0.36;1.057
3,5-dimethylphenol;3.97;0.82;0.84;0.57;0.36;1.057
ethyl benzoate;4.63;0.689;0.85;0;0.46;1.214
methyl 2-methylbenzoate;4.87;0.772;0.87;0;0.43;1.214
naphthalene;5.49;1.36;0.92;0;0.2;1.085
3-chlorophenol;3.85;0.909;1.06;0.69;0.15;0.898
4-nitrotoluene;4.81;0.87;1.11;0;0.28;1.032
4-chloroacetophenone;4.92;0.955;1.09;0;0.44;1.136
3-bromophenol;4.26;1.06;1.15;0.7;0.16;0.95
1-methylnaphthalene;5.86;1.344;0.9;0;0.2;1.226
nitrobenzene;3.81;0.871;1.11;0;0.28;0.891
